都道府県,市区町村,住所,都道府県_候補,市区町村_候補,住所c_候補,住所d_候補,住所e_候補,match_score,match_status,不一致理由
福島県,伊達市,南堀30−7,福島県,伊達市,伏黒,字南本場,,20.83,unmatched,住所類似度しきい値未満
福島県,伊達市,,福島県,伊達市,霊山町石田,字ブヨメキ,,10.0,unmatched,住所類似度しきい値未満
福島県,伊達市,右城町46−1 梁川町,福島県,伊達市,梁川町大関,字杉,,38.33,unmatched,住所類似度しきい値未満
福島県,伊達市,中町9−2 梁川町,福島県,伊達市,梁川町大関,字杉,,42.36,unmatched,住所類似度しきい値未満
福島県,伊達市,保原町 元木88−4,福島県,伊達市,保原町富沢,字向舟木,,43.89,unmatched,住所類似度しきい値未満
福島県,伊達市,上保原神明町18−3 保原町,福島県,伊達市,保原町上保原,字神明町,,56.41,unmatched,住所類似度しきい値未満
福島県,伊達市,幸町13 梁川町,福島県,伊達市,梁川町大関,字杉,,44.86,unmatched,住所類似度しきい値未満
福島県,伊達市,保原町 城ノ内52−4,福島県,伊達市,保原町上保原,字名場ノ内,,47.95,unmatched,住所類似度しきい値未満
福島県,伊達市,保原町 五丁目15−1,福島県,伊達市,保原町二井田,字加丁,,42.04,unmatched,住所類似度しきい値未満
福島県,伊達市,保原町 城ノ内16−1,福島県,伊達市,保原町上保原,字名場ノ内,,47.95,unmatched,住所類似度しきい値未満
福島県,伊達市,霊山町 掛田西裏54,福島県,伊達市,霊山町掛田,字西陣場,,65.0,unmatched,住所類似度しきい値未満
福島県,伊達市,月舘町 布川西原31−1,福島県,伊達市,月舘町布川,字西犬飼,,59.0,unmatched,住所類似度しきい値未満
福島県,伊達市,広瀬町45−2 梁川町,福島県,伊達市,梁川町大関,字杉,,38.33,unmatched,住所類似度しきい値未満
青森県,青森市,久須志3丁目2−13 佐藤歯科医院,青森県,青森市,大字浜館,字科,,15.91,unmatched,住所類似度しきい値未満
青森県,青森市,松原2丁目7−9,青森県,青森市,原別,字遠山,,20.0,unmatched,住所類似度しきい値未満
青森県,青森市,古川3丁目14−6,青森県,青森市,古川,字古川,,32.07,unmatched,住所類似度しきい値未満
青森県,青森市,緑2丁目13−14,青森県,青森市,大字浅虫,字内野,,10.0,unmatched,住所類似度しきい値未満
青森県,青森市,安方1丁目3−25 小田島ビル 2Ｆ,青森県,青森市,古館,字安田,,22.38,unmatched,住所類似度しきい値未満
青森県,青森市,青葉3丁目1−9,青森県,青森市,大字桑原,字稲葉,,18.67,unmatched,住所類似度しきい値未満
青森県,青森市,沖館5丁目20−11,青森県,青森市,沖館,字篠田,,30.25,unmatched,住所類似度しきい値未満
青森県,青森市,自由ケ丘2丁目7−26,青森県,青森市,大字鶴ヶ坂,アザタガワ,,16.19,unmatched,住所類似度しきい値未満
青森県,青森市,大矢沢里見88−11,青森県,青森市,大字大矢沢,字野田,,36.67,unmatched,住所類似度しきい値未満
青森県,青森市,金沢3丁目30−23,青森県,青森市,大字大野,字北金沢,,26.78,unmatched,住所類似度しきい値未満
青森県,青森市,新町 1丁目8−24,青森県,青森市,大字新町野,字幾田,,27.79,unmatched,住所類似度しきい値未満
青森県,青森市,南佃2丁目16−12,青森県,青森市,大字松森,字佃,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,栄町 2丁目2−18,青森県,青森市,大字浦町,字奥野,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,奥野2丁目20−13,青森県,青森市,大字浦町,字奥野,,27.79,unmatched,住所類似度しきい値未満
青森県,青森市,金沢3丁目11−15,青森県,青森市,大字大野,字北金沢,,26.78,unmatched,住所類似度しきい値未満
青森県,青森市,大野前田74−93,青森県,青森市,大字大野,字前田,,48.33,unmatched,住所類似度しきい値未満
青森県,青森市,羽白沢田300−4,青森県,青森市,大字野木,字沢田,,28.94,unmatched,住所類似度しきい値未満
青森県,青森市,篠田1丁目25−8,青森県,青森市,沖館,字篠田,,31.75,unmatched,住所類似度しきい値未満
青森県,青森市,浪館泉川22−4,青森県,青森市,大字浪館,字浅井,,30.25,unmatched,住所類似度しきい値未満
青森県,青森市,本町 1丁目7−1 長内ビル 1階,青森県,青森市,大字浅虫,字内野,,16.19,unmatched,住所類似度しきい値未満
青森県,青森市,浪館前田4丁目12−13,青森県,青森市,大字浪館,字志田,,32.71,unmatched,住所類似度しきい値未満
青森県,青森市,西大野1丁目15−3,青森県,青森市,大字大野,字今井,,27.79,unmatched,住所類似度しきい値未満
青森県,青森市,浜田玉川27−4,青森県,青森市,大字浜田,字板橋,,30.25,unmatched,住所類似度しきい値未満
青森県,青森市,浜田玉川217−26,青森県,青森市,大字浜田,字板橋,,27.79,unmatched,住所類似度しきい値未満
青森県,青森市,堤町 2丁目21−1,青森県,青森市,大字浦町,字奥野,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,浪館前田4丁目9−3,青森県,青森市,大字浪館,字志田,,35.44,unmatched,住所類似度しきい値未満
青森県,青森市,篠田3丁目2−13,青森県,青森市,沖館,字篠田,,31.75,unmatched,住所類似度しきい値未満
青森県,青森市,富田1丁目26−1,青森県,青森市,沖館,字篠田,,19.29,unmatched,住所類似度しきい値未満
青森県,青森市,勝田2丁目3−10,青森県,青森市,沖館,字篠田,,19.29,unmatched,住所類似度しきい値未満
青森県,青森市,大野山下171−17,青森県,青森市,大字浅虫,字山下,,35.63,unmatched,住所類似度しきい値未満
青森県,青森市,中佃1丁目17−7,青森県,青森市,大字松森,字佃,,18.67,unmatched,住所類似度しきい値未満
青森県,青森市,緑3丁目1−4 1-4 1 階C号室,青森県,青森市,大字浅虫,字内野,,10.0,unmatched,住所類似度しきい値未満
青森県,青森市,石江江渡4−10,青森県,青森市,大字石江,字江渡,,51.03,unmatched,住所類似度しきい値未満
青森県,青森市,三内稲元122−2,青森県,青森市,大字三内,字稲元,,48.33,unmatched,住所類似度しきい値未満
青森県,青森市,筒井4丁目2−46,青森県,青森市,大字荒川,字筒井,,28.94,unmatched,住所類似度しきい値未満
青森県,青森市,堤町 2丁目21−7,青森県,青森市,大字浦町,字奥野,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,浜田玉川244−4 ヤマダ歯科クリニック,青森県,青森市,浪岡大字大釈迦,アザヤマダ,,25.17,unmatched,住所類似度しきい値未満
青森県,青森市,石江江渡18−2,青森県,青森市,大字石江,字江渡,,51.03,unmatched,住所類似度しきい値未満
青森県,青森市,三好1丁目13−7,青森県,青森市,大字石江,字三好,,28.94,unmatched,住所類似度しきい値未満
青森県,青森市,沖館4丁目2−47 グランドコートヘルメス,青森県,青森市,沖館,字篠田,,21.99,unmatched,住所類似度しきい値未満
青森県,青森市,里見1丁目8−36,青森県,青森市,大字清水,字成見,,18.12,unmatched,住所類似度しきい値未満
