都道府県_digital,市,区,町域名,e,original_address_digital,normalized_address,都道府県_ken_all,市区町村,住所,original_address_ken_all,_merge
三重県,三重郡,朝日町,白梅の丘東,,三重県三重郡朝日町白梅の丘東,三重県三重郡朝日町白梅の丘東,三重県,三重郡朝日町,白梅の丘東,三重県三重郡朝日町白梅の丘東,both
三重県,三重郡,朝日町,白梅の丘西,,三重県三重郡朝日町白梅の丘西,三重県三重郡朝日町白梅の丘西,三重県,三重郡朝日町,白梅の丘西,三重県三重郡朝日町白梅の丘西,both
三重県,三重郡,菰野町,初若の郷,,三重県三重郡菰野町初若の郷,三重県三重郡菰野町初若の郷,三重県,三重郡菰野町,初若の郷,三重県三重郡菰野町初若の郷,both
三重県,三重郡,菰野町,大羽根園呉竹町,,三重県三重郡菰野町大羽根園呉竹町,三重県三重郡菰野町大羽根園呉竹町,三重県,三重郡菰野町,大羽根園呉竹町,三重県三重郡菰野町大羽根園呉竹町,both
三重県,三重郡,菰野町,大羽根園新林町,,三重県三重郡菰野町大羽根園新林町,三重県三重郡菰野町大羽根園新林町,三重県,三重郡菰野町,大羽根園新林町,三重県三重郡菰野町大羽根園新林町,both
三重県,三重郡,菰野町,大羽根園松ケ枝町,,三重県三重郡菰野町大羽根園松ケ枝町,三重県三重郡菰野町大羽根園松ケ枝町,三重県,三重郡菰野町,大羽根園松ケ枝町,三重県三重郡菰野町大羽根園松ケ枝町,both
三重県,三重郡,菰野町,大羽根園柴垣町,,三重県三重郡菰野町大羽根園柴垣町,三重県三重郡菰野町大羽根園柴垣町,三重県,三重郡菰野町,大羽根園柴垣町,三重県三重郡菰野町大羽根園柴垣町,both
三重県,三重郡,菰野町,大羽根園青葉町,,三重県三重郡菰野町大羽根園青葉町,三重県三重郡菰野町大羽根園青葉町,三重県,三重郡菰野町,大羽根園青葉町,三重県三重郡菰野町大羽根園青葉町,both
三重県,三重郡,菰野町,宝永台,,三重県三重郡菰野町宝永台,三重県三重郡菰野町宝永台,三重県,三重郡菰野町,宝永台,三重県三重郡菰野町宝永台,both
三重県,三重郡,菰野町,潤田,,三重県三重郡菰野町潤田,三重県三重郡菰野町潤田,三重県,三重郡菰野町,潤田,三重県三重郡菰野町潤田,both
