都道府県_digital,市,区,町域名,e,original_address_digital,normalized_address,都道府県_ken_all,市区町村,住所,original_address_ken_all,_merge
,,,,,,三重県いなべ市,三重県,いなべ市,,三重県いなべ市,right_only
,,,,,,三重県いなべ市北勢町下平,三重県,いなべ市,北勢町下平,三重県いなべ市北勢町下平,right_only
,,,,,,三重県いなべ市北勢町中山,三重県,いなべ市,北勢町中山,三重県いなべ市北勢町中山,right_only
,,,,,,三重県いなべ市北勢町二之瀬,三重県,いなべ市,北勢町二之瀬,三重県いなべ市北勢町二之瀬,right_only
,,,,,,三重県いなべ市北勢町京ケ野新田,三重県,いなべ市,北勢町京ケ野新田,三重県いなべ市北勢町京ケ野新田,right_only
,,,,,,三重県いなべ市北勢町其原,三重県,いなべ市,北勢町其原,三重県いなべ市北勢町其原,right_only
,,,,,,三重県いなべ市北勢町別名,三重県,いなべ市,北勢町別名,三重県いなべ市北勢町別名,right_only
,,,,,,三重県いなべ市北勢町北中津原,三重県,いなべ市,北勢町北中津原,三重県いなべ市北勢町北中津原,right_only
,,,,,,三重県いなべ市北勢町千司久連新田,三重県,いなべ市,北勢町千司久連新田,三重県いなべ市北勢町千司久連新田,right_only
,,,,,,三重県いなべ市北勢町南中津原,三重県,いなべ市,北勢町南中津原,三重県いなべ市北勢町南中津原,right_only
,,,,,,三重県いなべ市北勢町向平,三重県,いなべ市,北勢町向平,三重県いなべ市北勢町向平,right_only
,,,,,,三重県いなべ市北勢町垣内,三重県,いなべ市,北勢町垣内,三重県いなべ市北勢町垣内,right_only
,,,,,,三重県いなべ市北勢町塩崎,三重県,いなべ市,北勢町塩崎,三重県いなべ市北勢町塩崎,right_only
,,,,,,三重県いなべ市北勢町大辻新田,三重県,いなべ市,北勢町大辻新田,三重県いなべ市北勢町大辻新田,right_only
,,,,,,三重県いなべ市北勢町奥村,三重県,いなべ市,北勢町奥村,三重県いなべ市北勢町奥村,right_only
,,,,,,三重県いなべ市北勢町小原一色,三重県,いなべ市,北勢町小原一色,三重県いなべ市北勢町小原一色,right_only
